No	Category	Subcategory	Description	Qty	UOM	Price/Unit (RM)	Total (RM)	Update Date	Supplier	Note
1	Aggregates	Cement & Mortar	Cement	40	BAG	24	960	2025-11-20	NILAI AGRICULTURE ENTERPRISE	
2	Aggregates	Cement & Mortar	Cement	384	BAG	24	9216	2025-10-08	E SHENG HARDWARE (JH) SDN BHD	
3	Aggregates	Cement & Mortar	Cement (Bag)	2	BAG	24	48	2025-11-20		
4	Aggregates	Cement & Mortar	Cement (Bag)	1	BAG	24	24	2026-01-20	NILAI AGRICULTURE ENTERPRISE	
5	Aggregates	Cement & Mortar	Cement (Type Unknown)	40	BAG	24	960	2025-11-20	NILAI AGRICULTURE ENTERPRISE	
6	Aggregates	Cement & Mortar	Cement Ytl R	15	BAG	24	360	2025-11-20	NILAI AGRICULTURE ENTERPRISE	
7	Aggregates	Cement & Mortar	Cima NS Cement Green 50kg Bag	40	BAG	24	960	2025-10-16	E SHENG HARDWARE (JH) SDN BHD	
8	Aggregates	Cement & Mortar	Portland Cement 50kg Bag	35	BAG	24	840	2024-07-09	BILAL HARDWARE	
9	Aggregates	Cement & Mortar	Ready Mix Concrete G20 (Per m3)	1	M3	330.00	330	2026-02-04	XIN LONG TRACTOR ENGINEERING	price per m3
10	Aggregates	Cement & Mortar	Ready Mix Concrete G25 (Per m3)	1	M3	340	340	2026-02-04	XIN LONG TRACTOR ENGINEERING	price per m3
11	Aggregates	Cement & Mortar	Ready Mix Concrete G30 (Per m3)	1	M3	350	350	2026-02-04	XIN LONG TRACTOR ENGINEERING	price per m3
12	Aggregates	Cement & Mortar	YTL PCC Cement Castle 50kg Bag	40	BAG	24	960	2025-10-16	E SHENG HARDWARE (JH) SDN BHD	
13	Aggregates	Cement & Mortar	YTL PCC Cement Castle 50kg Bag	2	BAG	24	48	2025-11-20	NILAI AGRICULTURE ENTERPRISE	
14	Aggregates	Sand & Aggregates	3/4" Aggregate (10-Wheel Truck)	1	TRIP	850	850	2025-11-04	E SHENG HARDWARE (JH) SDN BHD	Malay: Batu = Aggregate
15	Aggregates	Sand & Aggregates	3/4" Aggregate (10-Wheel Truck)	1	TRIP	830.00	830	2026-02-04	XIN LONG TRACTOR ENGINEERING	10-wheel 17-18T +/-
16	Aggregates	Sand & Aggregates	3/4" Aggregate (Bag)	6	BAG	5	30	2025-09-30	NILAI AGRICULTURE ENTERPRISE	Malay: Batu = Aggregate
17	Aggregates	Sand & Aggregates	3/4" Aggregate (Scoop)	4	SCOOP	80	320	2025-09-30	NILAI AGRICULTURE ENTERPRISE	Malay: Batu = Aggregate
18	Aggregates	Sand & Aggregates	Aggregate 3/4"	2	TRIP	850	1700	2025-11-04	E SHENG HARDWARE (JH) SDN BHD	
