,        Paints & Coatings,,,,,,,,,        Fasteners & Anchors,,,,,,,,,        Welding & Gas,,,,,,,,,        Cutting & Abrasives,,,,,,,,,        Tools & Accessories,,,,,,,,,        Painting Tools,,,,,,,,,        Building Hardware,,,,,,,,,        Electrical Parts,,,,,,,,,        Safety & PPE,,,,,,,,,        Plumbing & Sanitary,,,,,,,,,        Miscellaneous,,,,,,
No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date
1,Black Oxide Paint 18L,1,Tin,68,68,IM-020195,02/22/2023,,1,"DS438FH 8#x1 1/2"" Self Drilling Screw",1,Box,26,26,IK-056824,11/16/2022,,1,MIG Welding Wire 0.8mm 5kg ORCA,3,Roll,35,105,IM-019925,01/17/2023,,1,Cutting Disc Thailand 105x1.2x16mm,50,Pcs,0.9,45,IK-058849,01/12/2023,,1,Stanley Measuring Tape 8m,1,Pcs,31,31,IM-020165,02/18/2023,,1,"Leon Paint Roller Refill L450 4""",20,Pcs,0.9,18,IM-020443,03/21/2023,,1,"Door Hinges 3/8""x1 1/4""x2""",6,Pcs,0.85,5.1,IM-020393,03/15/2023,,1,LED Bulb 12W Warm White,10,Pcs,5.5,55,IK-072128,12/28/2023,,1,Reflective Safety Vest,10,Pcs,12,120,IM-022993,12/28/2023,,1,"PVC Elbow 1""",50,Pcs,0.7,35,IM-020592,05/11/2023,,1,Poly Rope 6mm Blue,1,Roll,38,38,IK-072742,01/19/2024
2,White Gloss Paint 5L,1,Tin,94,94,IK-058849,01/12/2023,,2,"Concrete Nail 2"" Box",1,Box,9.5,9.5,IK-089983,04/09/2025,,2,Kobelco Welding Electrode MS6013 2.6mm,1,Box,47.5,47.5,IM-020165,02/18/2023,,2,Deecut Cutting Disc 105x1.2x16mm,100,Pcs,0.8,80,IM-020393,03/15/2023,,2,Safety Goggle ADX-9181-5,1,Pcs,7,7,IM-020443,03/21/2023,,2,"Sofia Roller Refill 4"" White",10,Pcs,1.4,14,IM-019552,12/16/2022,,2,"Wall Plug SYW 12mm 3/8""x3""",2,Box,64,128,IK-055846,10/21/2022,,2,MCB Schneider 20A,5,Pcs,22,110,IM-023758,03/18/2024,,2,Safety Helmet Yellow,5,Pcs,18,90,IK-072742,01/19/2024,,2,"PVC Tee 1""",30,Pcs,0.8,24,IK-072128,12/28/2023,,2,WD-40 Spray 400ml,6,Tin,15,90,IM-023758,03/18/2024
3,Black Gloss Paint 5L,1,Tin,78,78,IM-020443,03/21/2023,,3,"Drywall Screw 6 x 1"" MKZ-625 ZP (1000pcs)",1,box,22,22,QT-004339,09/02/2025,,3,CO2 Gas Cylinder Refill 26kg,1,Cyl,80,80,IM-020165,02/18/2023,,3,Overlapping Sandpaper Wheel #80,5,Pcs,2.5,12.5,IM-020196,02/22/2023,,3,Talc Chalk,1,Box,8.5,8.5,IM-020393,03/15/2023,,3,"Nylon Paint Brush 1 1/2""",2,Pcs,1.9,3.8,IM-019552,12/16/2022,,3,Stainless Steel Door Lock Body,2,Set,48,96,IK-090908,05/21/2025,,3,Schneider Switch 1 Gang,20,Pcs,6.8,136,IK-086979,01/15/2025,,3,Safety Goggle Clear,10,Pcs,6,60,IM-023758,03/18/2024,,3,PPR Pipe 20mm PN20,10,Length,9.5,95,IM-027790,04/09/2025,,3,Aluminium Ladder 6ft,1,Unit,180,180,IK-086979,01/15/2025
4,Red Oxide Primer 5L,1,Tin,85,03/25/1900,IK-086979,01/15/2025,,4,"DS-HW 625 12 x 1"" SD Screw (400pcs)",1,box,65,65,QT-004339,09/02/2025,,4,Parweld MIG Torch MB15 5m,1,Set,205,205,IM-020393,03/15/2023,,4,"Grinding Disc 7"" Bosch",10,Pcs,9.5,95,IK-090845,05/21/2025,,4,Knight Magnetic Nut Setter 8x65mm,3,Pcs,3,9,IK-058849,01/12/2023,,4,"Domino Paint Brush Nylon 1""",1,Pcs,1.4,1.4,IM-020443,03/21/2023,,,,,,,,,,,4,Schneider Socket 13A,10,Pcs,9.2,92,IK-088842,02/14/2025,,4,Ear Plug Disposable,50,Pairs,0.6,30,IK-086979,01/15/2025,,4,"Brass Gate Valve 1""",5,Pcs,22,110,IK-089983,04/09/2025,,4,Cable Tie 200mm Black,10,Packs,3.5,35,IM-027581,02/17/2025
5,Weatherbond Exterior Paint 15L,2,Tin,260,06/03/1901,IM-027581,02/17/2025,,5,Grade 8.8 HDG Fully Threaded Stud Rod M16 x 2m,1,Lgth,30,,,,,5,Contact Tip 0.8mm x 25L M6 MB15,10,Pcs,1.2,12,IK-058849,01/12/2023,,5,"Flap Disc 4"" Grit 80",20,Pcs,3.2,64,IM-028235,05/21/2025,,5,Knight Magnetic Nut Setter 8x45mm,2,Pcs,2.5,5,IK-058849,01/12/2023,,5,"Domino Paint Brush 750# 1 1/2""",1,Pcs,3.5,3.5,IM-020443,03/21/2023,,,,,,,,,,,5,Consumer DB Box 12 Way,1,Unit,185,185,IM-027323,02/06/2025,,5,Glove Nitrile Heavy Duty,20,Pairs,3.2,64,IM-027468,02/12/2025,,5,"Stainless Steel Floor Trap 4""",10,Pcs,18,180,IM-028207,04/09/2025,,5,Plastic Tarpaulin Sheet 12x18ft,2,Pcs,65,130,IM-028235,05/21/2025
6,Thinner 2kg,1,Tin,18,01/17/1900,IM-020443,03/21/2023,,6,Grade 8.8 HDG Fully Threaded Stud Rod M24 x 2m,1,Lgth,60,,,,,,Tip Holder Brass MB15,2,Pcs,4.5,9,IK-058849,01/12/2023,,,,,,,,,,,6,Parweld Tip Adaptor,20,Pcs,3.8,76,IM-020393,03/15/2023,,6,"Stanley Paint Brush 2""",5,Pcs,5.8,29,IK-089983,04/09/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Ball Valve Bib Tap Brass Chrome T108,5,unit,15,75,QT-004339,09/02/2025,,,,,,,,,
,Nippon Super Matex Paint 18L,1,pail,85,03/25/1900,QT-004339,09/02/2025,,7,Grade 8.8 HDG Hex Nut M16,1,Pc,0.3,,,,,,Small Nozzle 0.8mm,20,Pcs,0.8,16,IM-020393,03/15/2023,,,,,,,,,,,7,Stanley Cutter Knife Heavy Duty,5,Pcs,7.2,36,IM-027468,02/12/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,"Stopcock L/D Brass 1/2"" City",1,unit,17,17,QT-004339,09/02/2025,,,,,,,,,
,,,,,,,,,8,Grade 8.8 HDG Hex Nut M24,1,Pc,1.1,,,,,,Nozzle Gel,1,Tin,12,12,IM-020393,03/15/2023,,,,,,,,,,,8,Wheel Barrow H/D Yellow Deep (C/W Plate),1,unit,85,85,QT-004439,09/30/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"PVC Pipe D 15mm (1/2"") 5.8m",2,length,12.6,25.2,QT-004339,09/02/2025,,,,,,,,,
