,,,,,,,,,,,,,
No,Description,Qty,UOM,Price/Unit (RM),Total (RM),,,,,,,,
1,Tambun tanah 10-wheel,13,Trip,450,5850,,,,,,,,
2,Butyl / flashing tape 50 mm x 5 m,4,Roll,15,60,,,,,,,,
3,"BRC A7 (6.0 m x 2.2 m, 13.2 m²/pc)",12,Sht,148,1776,,,,,,,,
4,GI wire 20#,8,Roll,10,80,,,,,,,,
5,Spacer/chair plastik (±800 pcs/beg),1,Bag,108.8,108.8,,,,,,,,
6,Plywood 9 mm 4'x8' (formwork tepi + soffit + tangga),25,Sheet,48,1200,,,,,,,,
7,Curing compound Sika Antisol E 20 L,2,Pail,130,260,,,,,,,,
8,"PU metaldeck 0.47 mm G24/FR (610 mm), 624 ft-run",624,Ft-run,15,9360,,,,,,,,
9,Flashing #30 12'x8',4,Pc,28,112,,,,,,,,
10,Skru bumbung + washer,4,Box,68,272,,,,,,,,
11,Sealant silikon,16,Tube,8,128,,,,,,,,
12,Aksesori gutter (Bracket 14 + Outlet 1 + Stop-end 2),17,Unit,4,68,,,,,,,,
13,Downpipe 110/100 mm x 5.8 m,1,Batang,59,59,,,,,,,,
14,Strap/clip downpipe,3,Pc,3,9,,,,,,,,
15,"Gutter ""Mendung"" utama (8 ft x 5 batang = 40 ft)",5,Pc,45,225,,,,,,,,
16,Plaster board 4'x6' (top-up),38,Sheet,22,836,,,,,,,,
17,GI Channel 35x75x0.72 (6 m),82,Pc,22,1804,,,,,,,,
18,GI Batten 32x40x0.42 (6 m),66,Pc,13,858,,,,,,,,
19,Metal furring 10x30 mm x 12',60,Pc,3,180,,,,,,,,
20,Batten 121 0.48 mm,4,Pc,15,60,,,,,,,,
21,"Drywall screw 6x1"" (1,000 pcs)",1,Box,22,22,,,,,,,,
22,ASG Stopping 18 kg,2,Bag,22,44,,,,,,,,
23,Cat siling Nippon Super Matex 18 L,1,Tin,85,85,,,,,,,,
24,Wall angle (zinc bar 12'),20,Batang,3.3,66,,,,,,,,
25,"Hanger rod + fastener (6 ft/set, siap skru+washer)",80,Set,6.5,520,,,,,,,,
26,"LED downlight 4"" Philips 12 W",30,Unit,23.9,717,,,,,,,,
27,"Kipas siling KDK (remote, 56"")",9,Unit,665,5985,,,,,,,,
28,Soket 13A Schneider (single),10,Unit,8.5,85,,,,,,,,
29,"DB box 3-phase (45-way, full set)",1,Unit,450,450,,,,,,,,
30,Kabel 2.5 mm² Mega (100 m/roll),5,Roll,128,640,,,,,,,,
31,Kabel 1.5 mm² Mega (100 m/roll),6,Roll,85,510,,,,,,,,
32,PVC conduit 25 mm (2.8 m/batang),143,Unit,2.8,400.4,,,,,,,,
33,"PVC trunking (3/4""/1""/1-1/2""x3/4""/1""x2""/2""/2""x4"")",1,Set,1315,1315,,,,,,,,
34,PVC conceal box 1-gang,30,Unit,0.35,10.5,,,,,,,,
35,Switch 1-gang Schneider,20,Unit,5.9,118,,,,,,,,
36,Dimmer Schneider,3,Unit,85.8,257.4,,,,,,,,
37,Outdoor wall light IP65 (motion),3,Unit,90,270,,,,,,,,
38,Earthing rod 16 mm x 0.5 m,4,Pc,100,400,,,,,,,,
39,Earth clamp U-bolt UC301,1,Pc,74.1,74.1,,,,,,,,
