,        Masonry & Tiling,,,,,,,,,Sanitary & Plumbing,,,,,,,,,Wall finishing,,,,,,,,,Ceiling & Partition,,,,,,,,,Waterproofing & Sealant,,,,,,,,,Earthwork & Base,,,,,,,,,Formwork & Accessories,,,,,,,,,Concrete & Structural (MS + Structural),,,,,,,,,Roofing & Gutter,,,,,,,,,Gutter Systems,,,,,,,,,Plumbing & Drainage,,,,,,,,,        Floor & Surface Finishing,,,,,,,,,General Finishing & Coating,,,,,,,,,Awning / Skylight Accessories & Consumables,,,,,,,,,        Septic Tank & Ceiling,,,,
No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,UOM,Unit Price (RM),Quotation No,Date
1,"Cement bricks 4"" × 8½""",2250,pcs,0.3,675,QT-004250,2025-08-13,,1,Toilet bowl IBORN One Piece IBWC8315-S10'',2,unit,350,700,QT-004250,2025-08-13,,1,Lime Plaster A1 Kapur Air 10kg,9,Bag,4,36,QT-004250,2025-08-13,,1,Ceiling board PrimaFlex 4×4,1,sheet,13,13,QT-004250,2025-08-13,,1,"Fiberglass Tape 4"" x 45m HITZ",1,Roll,18.8,18.8,QT-004250,2025-08-13,,1,Tambun tanah 10-wheel,13,Trip,450,5850,,,,1,Spacer/chair plastik (±800 pcs/beg),1,Bag,108.8,108.8,,,,1,A7 BRC (BS) 2.2M X 6M,,SHEET,130,,,,,1,PU metaldeck 0.47 mm G24/FR (610 mm),624,Ft-run,15,9360,,,,1,ARENSI GUTTER (GREY F300) 5.8M,,LENGTH,95,,,,,1,"Brass Garden Bib Tap 1/2""",5,Unit,15,75,,,,1,Stair Nosing Aluminium Anti-Slip,20,Meter,25,500,,,,1,Primer / Sealer 5L,1,Tin,60,60,,,,1,Awning Post Cover,1,Pc,7.5,7.5,,,,1,Deluxe PE Septic Tank 1200L,Nos,650,,
2,Portland cement 50 kg bag,25,bag,23,575,QT-004250,2025-08-13,,2,Two way tap + hand bidet SUS304 M90SS Mocha,2,set,95,190,QT-004250,2025-08-13,,2,Skim Coat Coarse Sika Wall 191 (White) 25kg,5,Bag,19,95,QT-004250,2025-08-13,,2,Metal furring 10×30 mm × 12',18,pc,5.8,104.4,QT-004250,2025-08-13,,2,"Waterproof Soft Tape 2"" x 5m STD",1,Roll,35.8,35.8,QT-004250,2025-08-13,,2,Pasir kasar,3,Trip,650,1950,,,,2,Plywood 9 mm 4'x8' (formwork tepi + soffit + tangga),25,Sheet,48,1200,,,,2,GI wire 20#,8,Roll,10,80,,,,2,Flashing #30 12'x8',4,Pc,28,112,,,,2,ARENSI GUTTER (GREY F300) PVC EX. BRACKET,,PC,4.5,,,,,2,"Brass Stop Cock 1/2""",1,Unit,19,19,,,,2,Tiles 300x300,1602,Pcs,3,4806,,,,2,Black Oxide Paint 18L (Hesin Hardware Trading Sdn. Bhd.),1,Tin,65,65,,,,2,Skylight U Channel,1,Pc,20,20,,,,2,Deluxe PE Septic Tank 1500L,Nos,750,,
3,Fine sand 20 kg bag (pallet/60 bag),1,pallet,6,6,QT-004250,2025-08-13,,3,SS Hand bidet set LEON L3304,2,set,55,110,QT-004250,2025-08-13,,3,Skim Coat Fine Sika Wall 192 (White) 25kg,3,Bag,22,66,QT-004250,2025-08-13,,3,"Aluminium angle ½"" × ½"" × 6 m",1,pc,0.8,0.8,QT-004250,2025-08-13,,3,Waterproof Compound Sika Top Seal 107 (A+B) 25kg,1,Set,105,105,QT-004250,2025-08-13,,3,Pasir halus,3,Trip,700,2100,,,,3,Plaster board 4'x6' (top-up),38,Sheet,22,836,,,,3,Chemical anchor (SS railing + Roman tiang starter),108,Pc,10.9,1177.2,,,,3,Skru bumbung + washer,4,Box,68,272,,,,3,"ARENSI GUTTER (GREY F300) SPOUTHEAD 4""",,PC,19,,,,,3,"PVC Pipe Class 6 (1/2"", 5.8m/length)",2,Length,10,20,,,,3,Tiles 300x600,95,Sqft,2.25,213.75,,,,,,,,,,,,,3,Skylight Capping,1,Pc,23,23,,,,3,Deluxe PE Septic Tank 1500V,Nos,750,,
4,Coarse sand 20 kg bag (pallet/60 bag),1,pallet,6,6,QT-004250,2025-08-13,,4,"Floor grating SS 4×4""",2,unit,6,12,QT-004250,2025-08-13,,4,Skim Coat Halus 25kg,1,Bag,22,22,,,,4,"Threaded bar 5/16"" × 6 ft",8,pc,6.5,52,QT-004250,2025-08-13,,4,Silicone Sealant PS600 Pro-Spec Neutral,6,Tube,10,60,QT-004250,2025-08-13,,4,"Batu 3/4""",5,Trip,650,3250,,,,4,"Timber 1""x2""x10' – walers/studs/bracing",100,Pc,10,1000,,,,4,"Tiang Roman RP11 (10"" x 8')",9,Pc,110,990,,,,4,Sealant silikon,16,Tube,8,128,,,,4,ARENSI GUTTER (GREY F300) END CAP,,PC,12,,,,,4,"PVC Tee 1/2""",5,Pc,0.8,4,,,,4,Tiles 200x200,,Pcs,1,,,,,,,,,,,,,,4,"Skylight Angle 1"" x 1""",1,Pc,20,20,,,,4,Deluxe PE Septic Tank 1800V,Nos,850,,
5,Tile adhesive Worpro 25 kg,5,bag,13.5,67.5,QT-004250,2025-08-13,,5,"Flexible hose Latina 10""",4,unit,7,28,QT-004250,2025-08-13,,5,Wall Sealer Nippon Acrylic 5170 20L,1,Tin,380,380,QT-004250,2025-08-13,,5,"Drywall screw 6 × 1"" MKG-625 (1000 pcs)",1,box,22,22,QT-004250,2025-08-13,,5,PTFE White Tape ISANO Blue 15m,2,Roll,5,10,QT-004250,2025-08-13,,5,Batu Kasaran / Crusher Run 10-wheel,3,Trip,950,2850,,,,5,"Nails 2"" – formwork",3,Kg,8,24,,,,5,Rebar Y12 (12 m/bar),26,Bar,28,728,,,,5,Aksesori gutter (Bracket 14 + Outlet 1 + Stop-end 2),17,Unit,4,68,,,,5,ARENSI GUTTER (F300) CHROME BRACKET,,PC,3.5,,,,,5,"PVC P/T Socket 1/2"" (Brass Thread)",5,Pc,3.5,17.5,,,,5,Tiles 400x400,,Pcs,3.5,,,,,,,,,,,,,,5,"Skylight Angle 1-1/2"" x 1-1/2""",1,Pc,25,25,,,,5,Deluxe PE Septic Tank 2200L,Nos,950,,
6,Skim coat fine Sika Wall 192 (white) 25 kg,3,bag,22,66,QT-004250,2025-08-13,,6,"Offset 4"" -",2,unit,10,20,QT-004250,2025-08-13,,6,Wall Sealer Nippon Acrylic 5170 5L,1,Tin,120,120,QT-004250,2025-08-13,,6,Stopping compound ASG A Plus 18 kg,1,bag,22,22,QT-004250,2025-08-13,,6,Xtraseal MC800 Acrylic Sealant White 2.00 CIN 100.800,1,Unit,201.6,201.6,IN41687,2021-02-17,,,,,,,,,,,6,"Nails 3"" – formwork",3,Kg,8,24,,,,6,Rebar R6 (12 m/bar),42,Bar,10,420,,,,6,Downpipe 110/100 mm x 5.8 m,1,Batang,59,59,,,,6,ARENSI GUTTER (GREY F300) CORNER 'OUT',,PC,29,,,,,6,Precast U-Drain 300x300 x 1m,7,Meter,65,455,,,,6,Tiles 600x600,,Pcs,8,,,,,,,,,,,,,,6,Skylight Rubber (153m / Roll),1,Roll,78,78,,,,6,Deluxe PE Septic Tank 2700L,Nos,1980,,
7,Tile spacer PVC 2 mm,1,bag,4,4,QT-004250,2025-08-13,,7,"Basin waste 1¼""",2,unit,3,6,QT-004250,2025-08-13,,7,Wall Paint (White) Nippon Super Matex 7L,1,Tin,42,42,QT-004250,2025-08-13,,7,Knauf firestop 1220mm  x 2440mm x 16mm tefr (partition),1,pc,102,,,,,7,Awning OCI Silicone / Bottle,1,Bottle,8,8,,,,,,,,,,,,,7,Formwork release oil 5 L,1,Tin,35,35,,,,7,Rebar Y10 (12 m/bar) – main bars,20,Bar,38,760,,,,7,Strap/clip downpipe,3,Pc,3,9,,,,7,ARENSI GUTTER (GREY F300) CORNER 'IN',,PC,29,,,,,7,Cover/Grating untuk U-Drain (per 1m),7,Meter,70,490,,,,7,Tiles 600x1200,,Pcs,28,,,,,,,,,,,,,,7,Black Oxide Paint 18L (Hesin Hardware Trading Sdn. Bhd.),1,Tin,65,65,,,,7,Deluxe PE Septic Tank 3200L,Nos,1970,,
8,Sand Brick (520 pcs / Pallet),2,pallet,150,300,QT25002475,2025-10-01,,8,"Bottle trap PVC 1¼"" 32 mm Blue/Green",2,unit,7,14,QT-004250,2025-08-13,,8,Cat Siling Nippon Super Matex 18L,1,Tin,85,85,,,,8,Knauf partition board 4' x 8' x 12mm te (basic),1,pc,26.8,,,,,8,"Waterproof Soft Tape 2"" x 5m",4,roll,22,88,QT-004339,2025-09-02,,,,,,,,,,,8,"Concrete Nail Jaguar 3"" (1kg box)",2,box,9.5,19,QT25002475,2025-10-01,,8,Cover blocks (beam+Roman cage),192,Pc,0.4,76.8,,,,8,"Gutter ""Mendung"" utama (8 ft x 5 batang = 40 ft)",5,Pc,45,225,,,,8,"UPVC PIPE 110MM(4"") 5.8M",,LENGTH,59,,,,,8,"Pipe Clip PVC Kontiup 20mm (¾"")",1,Unit,0.3,0.3,QT-004250,2025-08-13,,8,Tiles 800x800,,Pcs,35,,,,,,,,,,,,,,8,Awning OCI Silicone / Bottle,1,Bottle,8,8,,,,8,Deluxe PE Septic Tank 3700L,Nos,2300,,
