,Purlin,,,,,,,,,ACP / Polycarbonate / Roof Sheets,,,,,,,,,Mild Steel Hollow,,,,,,,,,Stainless Steel Hollow / Tube,,,,,,,,,Mild Steel Flat Bar,,,,,,,,,Mild Steel Angle Bar,,,,,,,,,Checker Plate / CR Sheet / MS Plate / Expanded Metal,,,,,,,,,Mild Steel Deformed Bar,,,,,,,,,Mild Steel Round Bar (R-Bar),,,,,,
No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date,,No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date
1,"C Purlin 10"" x 3"" 1.6mm",1,Ft,7.62,,,,,1,UNIBOND ACP 4MM NORMAL COLOUR,,sgft,3.1,,,,,1,"MS Hollow 1"" x 2"" x 6m x 1.0mm",1,Pc,22,,,,,1,"SS Round Tube 1"" x 6.1m x 2.0mm",,Pc,142,,,,,1,"MS Flat Bar 6/8"" x 6m x 3mm",,Pc,12,,,,,1,"MS Angle Bar 1"" x 2"" x 6m x 6.0mm",,Pc,65,,,,,1,Checker Plate 3mm x 4' x 8',,Sheet,330,,,,,1,MS Y-Bar (Deformed) Ø12mm x 12m,,length,30,,TX216891,2025-09-30,,1,MS R-Bar (Round) Ø8mm x 12m,,length,15,,TX216891,2025-09-30
2,"C Purlin 10"" x 3"" 2.0mm",1,Ft,9.26592,,,,,2,UNIBOND ACP 4MM SPECIAL COLOUR,,sgft,3.5,,,,,2,"MS Hollow 1"" x 2"" x 6m x 1.2mm",1,Pc,25,,,,,2,"SS Round Tube 1"" x 6m x 1.2mm",,Pc,88,,,,,2,"MS Flat Bar 1"" x 6m x 3mm",,Pc,16,,,,,2,"MS Angle Bar 1"" x 6m x 6.0mm",,Pc,20,,,,,2,"Checker Plate 3mm siap potong 10"" pijak x 36L (atas & bawah bengkok 1"")",,Lot,845,,,,,2,,,,,,,,,2,R6 12m Round Bar,42,length,14,588,QT-004339,2025-09-02
3,"C Purlin 10"" x 3"" 2.3mm",1,Ft,10.607,,,,,3,VERMAX POLY EMBOSSED (CLEAR) 5MM (UNTUK PINTU / TINGKAP),,sgft,11.4,,,,,3,"MS Hollow 1"" x 2"" x 6m x 1.6mm",1,Pc,33,,,,,3,"SS Round Tube 1-1/2"" x 6m x 1.2mm",,Pc,120,,,,,3,"MS Flat Bar 2"" x 6m x 3mm (T-Bar Skylight Glass Bottom)",,Pc,30,,,,,3,"MS Angle Bar 1-1/2"" x 6m x 3.0mm",,Pc,33,,,,,3,CR Sheet 0.9mm x 4' x 8',,Sheet,100,,,,,3,,,,,,,,,3,Round Bar R6 (Ø6mm x 12m),10,length,12,120,QT25002475,2025-10-01
4,"C Purlin 10"" x 3"" 2.5mm",1,Ft,11.7043,,,,,4,VERMAX POLY PLAIN (CLEAR) 5MM (UNTUK PINTU / TINGKAP),,sgft,11.5,,,,,4,"MS Hollow 1"" x 2"" x 6m x 1.9mm",1,Pc,37,,,,,4,"SS Round Tube 2"" x 6.1m x 3.0mm",,Pc,435,,,,,4,"MS Flat Bar 2"" x 6m x 6mm",,Pc,49,,,,,4,"MS Angle Bar 1-1/2"" x 6m x 6.0mm",,Pc,65,,,,,4,CR Sheet 1.0mm x 4' x 8',,Sheet,110,,,,,4,,,,,,,,,4,,,,,,,
5,"C Purlin 12"" x 4"" 1.6mm",1,Ft,9.31164,,,,,5,VERMAX HIGH QUALITY POLY PLAIN 4MM (UNTUK PINTU / TINGKAP),,sgft,9.3,,,,,5,"MS Hollow 1"" x 2"" x 6m x 2.3mm",1,Pc,47,,,,,5,"SS Round Tube 2"" x 6m x 1.2mm",,Pc,155,,,,,5,"MS Flat Bar 4"" x 6m x 3mm (T-Bar Skylight Structure)",,Pc,55,,,,,5,"MS Angle Bar 3"" x 6m x 6.0mm",1,Pc,93,,,,,5,CR Sheet 1.2mm x 4' x 8',,Sheet,120,,,,,5,,,,,,,,,5,,,,,,,
6,"C Purlin 12"" x 4"" 2.0mm",1,Ft,11.70432,,,,,6,VERMAX HIGH QUALITY POLY EMBOSSED 3MM (UNTUK PINTU / TINGKAP),,sgft,6.5,,,,,6,"MS Hollow 1"" x 3"" x 6m x 1.2mm",1,Pc,38,,,,,6,"SS Round Tube 6/8"" x 6m x 1.2mm",,Pc,46,,,,,,,,,,,,,,6,"MS Angle Bar 4"" x 6m x 6.0mm",1,Pc,146,,,,,6,MS Plate 3mm x 4' x 8',,Sheet,265,,,,,6,,,,,,,,,6,,,,,,,
7,"C Purlin 12"" x 4"" 2.3mm",1,Ft,13.124688,,,,,7,VERMAX HIGH QUALITY POLY PLAIN 3MM (UNTUK PINTU / TINGKAP),,sgft,6.5,,,,,7,"MS Hollow 1"" x 3"" x 6m x 1.6mm",1,Pc,52,,,,,7,"SS Square Hollow 1"" x 2"" x 6m x 1.2mm",,Pc,150,,,,,,,,,,,,,,7,"MS Angle Bar 6/8"" x 6m x 3.0mm",,Pc,20,,,,,7,MS Expanded Metal 2015 x 4' x 8' x 2.0mm (9mm x 29mm mesh),,Sheet,90,,,,,7,,,,,,,,,7,,,,,,,
8,"C Purlin 12"" x 4"" 2.5mm",1,Ft,14.38656,,,,,8,3MM POLY PLAIN ROOF/AWNING,,sgft,5.9,,,,,8,"MS Hollow 1"" x 6m x 1.0mm",1,Pc,13,,,,,8,"SS Square Hollow 1/2"" x 6m x 1.2mm",,Pc,40,,,,,,,,,,,,,,,,,,,,,,,8,"MS Expanded Metal BHL 1/2"" x 18G x 4' x 8' x 1.2mm (13mm x 30mm mesh)",,Sheet,48,,,,,8,,,,,,,,,8,,,,,,,
,Z Purlin 200mm x 74mm x 68mm x 2.5mm,1,Mtr,24.955,,,,,9,3MM POLY EMBOSSED ROOF/AWNING,,sgft,5.7,,,,,9,"MS Hollow 1"" x 6m x 1.2mm",1,Pc,15,,,,,9,"SS Square Hollow 1-6/8"" x 3"" x 6m x 1.5mm",,Pc,340,,,,,,,,,,,,,,,,,,,,,,,9,MS Expanded Metal 1520 x 4' x 8' x 1.5mm (16mm x 38mm mesh),,Sheet,60,,,,,9,,,,,,,,,9,,,,,,,
,,,,,,,,,,,,,,,,,,10,"MS Hollow 1"" x 6m x 1.6mm",1,Pc,22,,,,,10,"SS Square Hollow 2"" x 4"" x 6m x 1.5mm",,Pc,450,,,,,,,,,,,,,,,,,,,,,,,10,MS Expanded Metal 7503 x 4' x 8' x 3.0mm (22mm x 57mm mesh),,Sheet,90,,,,,10,,,,,,,,,10,,,,,,,
,,,,,,,,,,,,,,,,,,11,"MS Hollow 1"" x 6m x 1.9mm",1,Pc,25,,,,,11,"SS Square Hollow 2"" x 6m x 1.2mm",,Pc,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,12,"MS Hollow 1/2"" x 1"" x 6m x 1.2mm",1,Pc,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,13,"MS Hollow 1-1/2"" x 2-1/2"" x 6m x 1.9mm",1,Pc,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,14,"MS Hollow 1-1/2"" x 3"" x 6m x 1.2mm",1,Pc,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,15,"MS Hollow 1-1/2"" x 3"" x 6m x 1.6mm",1,Pc,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,16,"MS Hollow 1-1/2"" x 3"" x 6m x 1.9mm",1,Pc,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,17,"MS Hollow 1-1/2"" x 6m x 1.2mm",1,Pc,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,18,"MS Hollow 1-1/2"" x 6m x 1.6mm",1,Pc,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,19,"MS Hollow 1-1/2"" x 6m x 1.9mm",1,Pc,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,20,"MS Hollow 2"" x 3"" x 6m x 1.2mm",1,Pc,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,21,"MS Hollow 2"" x 3"" x 6m x 1.6mm",1,Pc,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,22,"MS Hollow 2"" x 3"" x 6m x 2.3mm",1,Pc,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,23,"MS Hollow 2"" x 3"" x 6m x 3.0mm",1,Pc,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,24,"MS Hollow 2"" x 4"" x 6m x 1.2mm",1,Pc,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,25,"MS Hollow 2"" x 4"" x 6m x 1.6mm",1,Pc,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,26,"MS Hollow 2"" x 4"" x 6m x 1.9mm",1,Pc,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,"MS Hollow 2"" x 4"" x 6m x 2.3mm",1,Pc,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,28,"MS Hollow 2"" x 4"" x 6m x 3.2mm",1,Pc,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,29,"MS Hollow 2"" x 5"" x 6m x 1.6mm",1,Pc,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,30,"MS Hollow 2"" x 5"" x 6m x 1.9mm",1,Pc,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,31,"MS Hollow 2"" x 5"" x 6m x 2.3mm",1,Pc,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,32,"MS Hollow 2"" x 5"" x 6m x 3.0mm",1,Pc,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,33,"MS Hollow 2"" x 6"" x 6m x 1.6mm",1,Pc,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,34,"MS Hollow 2"" x 6"" x 6m x 1.9mm",1,Pc,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,35,"MS Hollow 2"" x 6"" x 6m x 2.3mm",1,Pc,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,36,"MS Hollow 2"" x 6"" x 6m x 3.0mm",1,Pc,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,37,"MS Hollow 2"" x 6m x 1.2mm",1,Pc,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,38,"MS Hollow 2"" x 6m x 1.6mm",1,Pc,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39,"MS Hollow 2"" x 6m x 1.9mm",1,Pc,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,40,"MS Hollow 2"" x 6m x 2.3mm",1,Pc,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,41,"MS Hollow 3"" x 3"" x 6m x 1.6mm",1,Pc,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,42,"MS Hollow 3"" x 3"" x 6m x 3.2mm",1,Pc,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,43,"MS Hollow 3"" x 4"" x 6m x 4.0mm",1,Pc,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,44,"MS Hollow 3"" x 5"" x 6m x 3.0mm (awning lebih 20ft)",1,Pc,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,45,"MS Hollow 4"" x 4"" x 6m x 1.6mm",1,Pc,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,46,"MS Hollow 4"" x 4"" x 6m x 1.9mm",1,Pc,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,47,"MS Hollow 4"" x 4"" x 6m x 2.3mm",1,Pc,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,48,"MS Hollow 4"" x 4"" x 6m x 3.0mm",1,Pc,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,49,"MS Hollow 4"" x 8"" x 6m x 4.5mm",1,Pc,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,50,"MS Hollow 6"" x 6"" x 6m x 4.5mm",1,Pc,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,51,"MS Hollow 6/8"" x 6m x 1.0mm",1,Pc,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,52,"MS Hollow 6/8"" x 6m x 1.2mm",1,Pc,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
