No,Category,Subcategory,Description,Qty,UOM,Price/Unit (RM),Total (RM),Update Date,Supplier,Note
1,Aggregates,Cement & Mortar,Cement,40,BAG,20.8,832,20/11/2025,NILAI AGRICULTURE ENTERPRISE,
2,Aggregates,Cement & Mortar,Cement,384,BAG,21.8,8371.2,8/10/2025,E SHENG HARDWARE (JH) SDN BHD,
3,Aggregates,Cement & Mortar,Cement,384,BAG,21.8,8371.2,8/10/2025,E SHENG HARDWARE (JH) SDN BHD,
4,Aggregates,Cement & Mortar,Cement (Bag),2,BAG,15,30,20/11/2025,,
5,Aggregates,Cement & Mortar,Cement (Bag),1,BAG,15,15,20/1/2026,NILAI AGRICULTURE ENTERPRISE,
6,Aggregates,Cement & Mortar,Cement (Type Unknown),40,BAG,20.8,832,20/11/2025,NILAI AGRICULTURE ENTERPRISE,
7,Aggregates,Cement & Mortar,Cement Ytl R,15,BAG,21,315,20/11/2025,NILAI AGRICULTURE ENTERPRISE,
8,Aggregates,Cement & Mortar,Cement Ytl R,15,BAG,21,315,20/11/2025,NILAI AGRICULTURE ENTERPRISE,
9,Aggregates,Cement & Mortar,Cima NS Cement Green 50kg Bag,40,BAG,20.5,820,16/10/2025,E SHENG HARDWARE (JH) SDN BHD,
10,Aggregates,Cement & Mortar,Cima NS Cement Green 50kg Bag,40,BAG,20.5,820,16/10/2025,E SHENG HARDWARE (JH) SDN BHD,
11,Aggregates,Cement & Mortar,Portland Cement 50kg Bag,35,BAG,15,525,9/7/2024,BILAL HARDWARE,
12,Aggregates,Cement & Mortar,YTL PCC Cement Castle 50kg Bag,40,BAG,21,840,16/10/2025,E SHENG HARDWARE (JH) SDN BHD,
13,Aggregates,Cement & Mortar,YTL PCC Cement Castle 50kg Bag,40,BAG,21,840,16/10/2025,E SHENG HARDWARE (JH) SDN BHD,
14,Aggregates,Cement & Mortar,YTL PCC Cement Castle 50kg Bag,2,BAG,21,42,20/11/2025,NILAI AGRICULTURE ENTERPRISE,
15,Aggregates,Sand & Aggregates,"3/4"" Aggregate (10-Wheel Truck)",1,TRIP,850,850,4/11/2025,E SHENG HARDWARE (JH) SDN BHD,Malay: Batu = Aggregate
16,Aggregates,Sand & Aggregates,"3/4"" Aggregate (Bag)",6,BAG,5,30,30/9/2025,NILAI AGRICULTURE ENTERPRISE,Malay: Batu = Aggregate
17,Aggregates,Sand & Aggregates,"3/4"" Aggregate (Bag)",6,BAG,5,30,30/9/2025,NILAI AGRICULTURE ENTERPRISE,Malay: Batu = Aggregate
18,Aggregates,Sand & Aggregates,"3/4"" Aggregate (Scoop)",4,SCOOP,80,320,30/9/2025,NILAI AGRICULTURE ENTERPRISE,Malay: Batu = Aggregate
19,Aggregates,Sand & Aggregates,"3/4"" Aggregate (Scoop)",4,SCOOP,80,320,30/9/2025,NILAI AGRICULTURE ENTERPRISE,Malay: Batu = Aggregate
20,Aggregates,Sand & Aggregates,"Aggregate 3/4""",2,TRIP,850,1700,4/11/2025,E SHENG HARDWARE (JH) SDN BHD,
21,Aggregates,Sand & Aggregates,Coarse Aggregate (10-Wheel Truck),1,TRIP,850,850,4/11/2025,E SHENG HARDWARE (JH) SDN BHD,Malay: Batu Kasaran
22,Aggregates,Sand & Aggregates,Coarse Sand,1,TRIP,800,800,,,
23,Aggregates,Sand & Aggregates,Coarse Sand (10-Wheel Truck),1,TRIP,800,800,4/11/2025,E SHENG HARDWARE (JH) SDN BHD,Malay: Pasir Kasar
24,Aggregates,Sand & Aggregates,Coarse Sand (10-Wheel Truck),1,TRIP,800,800,4/11/2025,E SHENG HARDWARE (JH) SDN BHD,Malay: Pasir Kasar
25,Aggregates,Sand & Aggregates,Coarse Sand (10-Wheel Truck),3,TRIP,850,2550,2/9/2025,,Malay: Pasir Kasar
26,Aggregates,Sand & Aggregates,Coarse Sand (Scoop),1,SCOOP,70,70,8/10/2025,E SHENG HARDWARE (JH) SDN BHD,Malay: Pasir Kasar
27,Aggregates,Sand & Aggregates,Coarse Sand (Scoop),1,SCOOP,70,70,8/10/2025,E SHENG HARDWARE (JH) SDN BHD,Malay: Pasir Kasar
28,Aggregates,Sand & Aggregates,Coarse Sand 20kg Bag (Pallet/60 Bag),1,PALLET,6,6,13/8/2025,,
29,Aggregates,Sand & Aggregates,Crusher Run (10-Wheel Truck),1,TRIP,850,850,4/11/2025,E SHENG HARDWARE (JH) SDN BHD,
30,Aggregates,Sand & Aggregates,Crusher Run (10-Wheel Truck),1,TRIP,850,850,4/11/2025,E SHENG HARDWARE (JH) SDN BHD,
31,Aggregates,Sand & Aggregates,Crusher Run (10-Wheel Truck),1,TRIP,850,850,4/11/2025,E SHENG HARDWARE (JH) SDN BHD,
32,Aggregates,Sand & Aggregates,Fine Sand,3,TRIP,700,2100,,,
33,Aggregates,Sand & Aggregates,Fine Sand (10-Wheel Truck),3,TRIP,900,2700,2/9/2025,,Malay: Halus = Fine
34,Aggregates,Sand & Aggregates,Fine Sand (Scoop),2,SCOOP,80,160,8/10/2025,E SHENG HARDWARE (JH) SDN BHD,Malay: Pasir Halus
35,Aggregates,Sand & Aggregates,Fine Sand (Scoop),2,SCOOP,80,160,8/10/2025,E SHENG HARDWARE (JH) SDN BBD,Malay: Halus = Fine
36,Aggregates,Sand & Aggregates,Fine Sand 20kg Bag (Pallet 60 Bags),1,PALLET,850,850,20/11/2025,NILAI AGRICULTURE ENTERPRISE,Pasir halus
37,Aggregates,Sand & Aggregates,Fine Sand 20kg Bag (Pallet 60 Bags),3,BAG,8,24,12/6/2025,NILAI AGRICULTURE ENTERPRISE,Malay: pasir halus
38,Aggregates,Sand & Aggregates,Fine Sand 20kg Bag (Pallet 60 Bags),3,BAG,8,24,12/6/2025,NILAI AGRICULTURE ENTERPRISE,Malay: pasir halus
39,Aggregates,Sand & Aggregates,Fine Sand 20kg Bag (Pallet/60 Bag),1,PALLET,6,6,13/8/2025,,
40,Aggregates,Sand & Aggregates,Sand Brick (520pcs/Pallet),2,PALLET,150,300,1/10/2025,,
41,Aggregates,Sand & Aggregates,Sand Brick (520pcs/Pallet),1,PALLET,150,150,20/10/2025,E SHENG HARDWARE (JH) SDN BHD,
42,Aggregates,Sand & Aggregates,Sand Brick (520pcs/Pallet),1,PALLET,150,150,20/10/2025,E SHENG HARDWARE (JH) SDN BHD,
43,Aggregates,Sand & Aggregates,Soil Backfill (10-Wheel Truck),13,TRIP,450,5850,,,
44,Aluminium,ACP Panel,ACP Panel Double Side (Silver) 4ft x 8ft x 3.00mm,1,PCS,80,80,11/6/2022,YIT LOONG BUILDING MATERIALS SDN BHD,wrong_category_fixed=1;size_added=1
